epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1352.05,1.2484,1.40622,1.18321,0.95699,0.8682,0.93118,0.56251,1.37851,0.83606,1.26379,0.000666163,0.000666163,0.000666163
2,2732.08,1.2466,0.74678,1.21895,0.95579,0.90245,0.94693,0.55711,1.40828,0.71653,1.26563,0.00120088,0.00120088,0.00120088
3,4104.77,1.2152,0.68698,1.20396,0.95681,0.90391,0.94683,0.55783,1.44997,0.67514,1.29482,0.0016036,0.0016036,0.0016036
4,5482.98,1.18299,0.64297,1.18907,0.95684,0.92824,0.96017,0.62251,1.2624,0.62873,1.2127,0.001406,0.001406,0.001406
5,6854.96,1.15412,0.59389,1.17427,0.96592,0.93246,0.96514,0.61936,1.28422,0.59138,1.21366,0.001208,0.001208,0.001208
6,8217.52,1.13169,0.56131,1.15755,0.97598,0.9338,0.97024,0.63029,1.26367,0.55177,1.22077,0.00101,0.00101,0.00101
7,9590.17,1.10456,0.52885,1.143,0.97439,0.94371,0.97431,0.67176,1.16499,0.51901,1.1568,0.000812,0.000812,0.000812
8,10963.4,1.08305,0.49594,1.13184,0.9791,0.94325,0.97594,0.6706,1.15865,0.4931,1.14783,0.000614,0.000614,0.000614
9,12335.1,1.05965,0.47311,1.11404,0.9812,0.94184,0.97537,0.6824,1.14723,0.4738,1.15362,0.000416,0.000416,0.000416
10,13712.2,1.03642,0.4457,1.1024,0.97003,0.95646,0.98046,0.69134,1.13043,0.45917,1.13665,0.000218,0.000218,0.000218
